C,Statue of Liberty,40.6892494,-74.0445004,17287,12708,4578,5081,4591,4449,3014,1153,4701,558,4336,9771,2013,1
E,Rockefeller Center,40.7587402,-73.9786736,28637,22435,6202,11805,11066,4770,726,1601,20498,350,10145,17029,2013,1
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,131,90,41,17,19,60,33,8,4,118,21,69,2013,1
E,Times Square,40.759011,-73.9844722,28585,20112,8473,5452,8526,10462,4001,1415,18586,2003,8695,16246,2013,1
B,The Peninsula Hotel,40.761719,-73.975259,15283,12291,2992,6254,4598,3316,1002,748,10746,270,5557,9145,2013,1
D,Orchard Beach,40.8629619,-73.7926456,2,1,1,2,0,0,0,0,1,1,0,2,2013,1
C,Literary Walk,40.7723522,-73.9715901,3,1,2,2,0,1,0,0,1,0,0,1,2013,1
D,Long Beach,40.5884373,-73.657908,17,15,2,5,2,3,4,6,0,16,15,14,2013,1
A,Battery Park,40.7032775,-74.0170279,17287,12708,4578,5082,4590,4449,3014,1153,4701,558,4336,9771,2013,1
C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,1620,1217,403,544,728,311,34,55,1147,18,404,900,2013,1
C,107th Infantry Memorial,40.769249,-73.9694586,1949,1381,568,615,766,486,80,92,1581,12,579,1146,2013,1
D,Jones Beach,40.6298139,-73.5030099,1,0,1,0,0,1,0,0,1,0,0,1,2013,1
C,911 Memorial,40.7115405,-74.0132725,46683,36566,10117,19741,10875,11081,4571,2396,14336,1835,14982,26413,2013,1
E,Broadway and Shubert Alley,40.7578253,-73.9871766,17415,12376,5039,3349,4859,7268,1803,1044,12070,505,4847,9508,2013,1
A,Bryant Park,40.7535965,-73.9832326,55794,45748,10046,24461,14995,12366,3383,2293,38137,989,22720,32362,2013,1
B,The Plaza,40.764464,-73.974489,11898,8973,2924,4178,4265,2764,627,653,8506,216,4050,7076,2013,1
C,Grants Tomb,40.8134045,-73.9630671,1654,1147,507,252,407,608,370,96,569,56,446,980,2013,1
E,Empire State Building,40.7484405,-73.9856644,36517,26921,9596,8984,11059,11609,4684,2538,26066,453,11456,20648,2013,1
C,Grand Army Plaza,40.764591,-73.9736523,33590,25508,8082,11831,13176,7078,1343,1873,25420,444,11167,19734,2013,1
D,Coney Island Beach,40.5749261,-73.9859414,470,326,144,54,95,170,138,35,5,453,48,280,2013,1
A,Coney Island,40.5749261,-73.9859414,470,326,144,54,95,170,138,35,5,453,48,280,2013,1
C,Washington Square Arch,40.7314658,-73.9970956,36645,25550,11095,6981,8791,15442,5348,1584,21469,825,13379,20611,2013,1
D,Rockaway beach and Boardwalk,40.5863767,-73.8004768,131,90,41,17,19,60,33,8,4,118,21,69,2013,1
A,Riverside Park,40.8012339,-73.9723096,324247,241328,82919,53425,86906,135535,46986,18657,163279,6825,107182,194037,2013,1
C,Columbus Circle Fountain,40.767885,-73.982622,34214,25287,8927,8163,10781,12540,2527,1862,23959,457,12761,20087,2013,1
B,Mandarin Oriental,40.768971,-73.983044,17826,13423,4402,3531,4863,7125,2204,823,11409,624,6908,10435,2013,1
B,The Greenwich Hotel,40.719846,-74.009893,28262,21152,7110,7847,5927,11631,2713,1297,13501,402,11738,16655,2013,1
A,State of liberty National Monument,40.6892494,-74.0445004,17287,12708,4578,5082,4590,4449,3014,1153,4701,558,4336,9771,2013,1
B,Trump SoHo Hotel,40.725469,-74.005333,8443,6303,2140,1608,1859,3420,1500,495,4544,305,3404,5102,2013,1
B,The Mark Hotel,40.775274,-73.963405,16244,12718,3526,3912,5471,5836,980,716,11593,114,5503,10131,2013,1
D,Fort Tilden Beach,40.564254,-73.883913,1,1,0,0,0,1,0,0,0,1,0,1,2013,1
F,Regal Cinemas Battery Park,40.71499216,-74.01525132,23907,18885,5022,6900,5860,8474,2559,1193,8245,1532,10016,15268,2013,1
B,The Pierre Hotel,40.765247,-73.971998,6756,4954,1801,2058,2748,1681,243,396,4973,129,2207,3835,2013,1
A,Prospect Park,40.6602037,-73.9689558,30181,20301,9880,2021,2878,10711,14128,2100,3100,5696,8763,17634,2013,1
E,Museum of National History,40.7813241,-73.9739882,13644,9313,4331,4333,6009,2786,504,1126,8390,82,3172,7260,2013,1
F,Sunshine Cinema,40.723024,-73.989961,12432,6819,5613,700,1851,5389,4407,681,7595,139,5099,6846,2013,1
B,Gramercy Park Hotel,40.738524,-73.985742,11082,7905,3177,1412,2453,4707,2459,663,7682,211,5016,7035,2013,1
E,Metropolitan Museum of Art,40.7791865,-73.9635348,12657,8577,4080,4389,5894,2149,216,533,7375,51,3111,7267,2013,1
F,Broadway Theater,40.763417,-73.983394,12055,8800,3255,3197,2461,4373,1942,439,8234,475,3817,6954,2013,1
B,Four Seasons Hotel,40.762347,-73.971312,32948,27498,5450,14500,9209,6764,2372,1237,23585,376,12516,19524,2013,1
A,Central Park,40.7711329,-73.9741874,1054638,791596,263041,263350,325867,361749,98903,55161,670048,18213,354981,614683,2013,1
F,AMC Lowes Lincoln Square,40.774866,-73.981646,16900,11639,5261,3153,5199,7449,1030,1137,11930,170,6585,10434,2013,1
B,The Surrey Hotel,40.774287,-73.96397,20820,16304,4516,4849,7431,7183,1284,939,14686,218,6553,12587,2013,1
